+----------------------------------------------------------+
| QUEUE Pracovníci                                        |
+----------------------------------------------------------+
|  Time interval = 0 - 525600                              |
|  Incoming  52550                                         |
|  Outcoming  52550                                        |
|  Current length = 0                                      |
|  Maximal length = 2                                      |
|  Average length = 0.534928                               |
|  Minimal time = 0                                        |
|  Maximal time = 193.627                                  |
|  Average time = 5.3503                                   |
|  Standard deviation = 25.9641                            |
+----------------------------------------------------------+
+----------------------------------------------------------+
| HISTOGRAM Počet zasazených semínek v jednotlivých dnech |
+----------------------------------------------------------+
| STATISTIC                                                |
+----------------------------------------------------------+
|  Min = 10.246                  Max = 334180              |
|  Number of records = 99990                               |
|  Average value = 184772                                  |
|  Standard deviation = 97200.3                            |
+----------------------------------------------------------+
|    from    |     to     |     n    |   rel    |   sum    |
| 385920.000 | 387360.000 |        0 | 0.000000 | 1.000000 |
| 387360.000 | 388800.000 |        0 | 0.000000 | 1.000000 |
| 388800.000 | 390240.000 |        0 | 0.000000 | 1.000000 |
| 390240.000 | 391680.000 |        0 | 0.000000 | 1.000000 |
| 391680.000 | 393120.000 |        0 | 0.000000 | 1.000000 |
| 393120.000 | 394560.000 |        0 | 0.000000 | 1.000000 |
| 394560.000 | 396000.000 |        0 | 0.000000 | 1.000000 |
| 396000.000 | 397440.000 |        0 | 0.000000 | 1.000000 |
| 397440.000 | 398880.000 |        0 | 0.000000 | 1.000000 |
| 398880.000 | 400320.000 |        0 | 0.000000 | 1.000000 |
| 400320.000 | 401760.000 |        0 | 0.000000 | 1.000000 |
| 401760.000 | 403200.000 |        0 | 0.000000 | 1.000000 |
| 403200.000 | 404640.000 |        0 | 0.000000 | 1.000000 |
| 404640.000 | 406080.000 |        0 | 0.000000 | 1.000000 |
| 406080.000 | 407520.000 |        0 | 0.000000 | 1.000000 |
| 407520.000 | 408960.000 |        0 | 0.000000 | 1.000000 |
| 408960.000 | 410400.000 |        0 | 0.000000 | 1.000000 |
| 410400.000 | 411840.000 |        0 | 0.000000 | 1.000000 |
| 411840.000 | 413280.000 |        0 | 0.000000 | 1.000000 |
| 413280.000 | 414720.000 |        0 | 0.000000 | 1.000000 |
| 414720.000 | 416160.000 |        0 | 0.000000 | 1.000000 |
| 416160.000 | 417600.000 |        0 | 0.000000 | 1.000000 |
| 417600.000 | 419040.000 |        0 | 0.000000 | 1.000000 |
| 419040.000 | 420480.000 |        0 | 0.000000 | 1.000000 |
| 420480.000 | 421920.000 |        0 | 0.000000 | 1.000000 |
| 421920.000 | 423360.000 |        0 | 0.000000 | 1.000000 |
| 423360.000 | 424800.000 |        0 | 0.000000 | 1.000000 |
| 424800.000 | 426240.000 |        0 | 0.000000 | 1.000000 |
| 426240.000 | 427680.000 |        0 | 0.000000 | 1.000000 |
| 427680.000 | 429120.000 |        0 | 0.000000 | 1.000000 |
| 429120.000 | 430560.000 |        0 | 0.000000 | 1.000000 |
| 430560.000 | 432000.000 |        0 | 0.000000 | 1.000000 |
| 432000.000 | 433440.000 |        0 | 0.000000 | 1.000000 |
| 433440.000 | 434880.000 |        0 | 0.000000 | 1.000000 |
| 434880.000 | 436320.000 |        0 | 0.000000 | 1.000000 |
| 436320.000 | 437760.000 |        0 | 0.000000 | 1.000000 |
| 437760.000 | 439200.000 |        0 | 0.000000 | 1.000000 |
| 439200.000 | 440640.000 |        0 | 0.000000 | 1.000000 |
| 440640.000 | 442080.000 |        0 | 0.000000 | 1.000000 |
| 442080.000 | 443520.000 |        0 | 0.000000 | 1.000000 |
| 443520.000 | 444960.000 |        0 | 0.000000 | 1.000000 |
| 444960.000 | 446400.000 |        0 | 0.000000 | 1.000000 |
| 446400.000 | 447840.000 |        0 | 0.000000 | 1.000000 |
| 447840.000 | 449280.000 |        0 | 0.000000 | 1.000000 |
| 449280.000 | 450720.000 |        0 | 0.000000 | 1.000000 |
| 450720.000 | 452160.000 |        0 | 0.000000 | 1.000000 |
| 452160.000 | 453600.000 |        0 | 0.000000 | 1.000000 |
| 453600.000 | 455040.000 |        0 | 0.000000 | 1.000000 |
| 455040.000 | 456480.000 |        0 | 0.000000 | 1.000000 |
